x,y,z,x_rotation,y_rotation,z_rotation,rel_traj
5045,2497,2.5,90,0,0,None
5063,2486,2.5,90,0,0,None
5072,2473,2.5,90,0,0,None
5040,2473,2.5,90,0,0,None
5080,2495,2.5,90,0,0,None
